rpid,parent_rpid,username,content,like_count,timestamp,ip_location
275705988880,0,好奇-好奇,加油！,3,1757564612,IP属地：福建
274286405009,0,Aiyounnd,老师，教师节快乐,3,1757509776,IP属地：广东
274119045441,0,摘一朵星星_,加油,2,1757348178,IP属地：陕西
275288250864,0,糕小饼叒,加油！,1,1757168676,IP属地：云南
275279773632,0,大卉龙衣_奔袭,加油,0,1757164008,IP属地：福建
273555306721,0,不长期素食所导致的,加油,0,1756819035,IP属地：福建
273498984865,0,账号已注销,加油[加油],0,1756772535,IP属地：江苏
274621569408,0,羊x,加油！！！,0,1756564569,IP属地：广东
272796761153,0,Azurefeather_CN,加油,1,1756214295,IP属地：四川
272448429697,0,无敌的呆毛_,加油[打call],1,1755955642,IP属地：浙江
272382424225,0,Eco-368g,谢谢罗老师！,3,1755918689,IP属地：湖北
272241058609,0,不长期素食所导致的,加油,3,1755812120,IP属地：福建
271803293089,0,克制学会一定,加油！！！,3,1755507386,IP属地：甘肃
271542036881,0,渔游星海,加油,3,1755324271,IP属地：天津
271286306385,0,种花家的刘看山,加油！,2,1755147234,IP属地：湖北
271275721361,0,新小宇9,加油,1,1755142214,IP属地：河北
272514766096,0,蒸蒸日上的言,加油,1,1755111840,IP属地：海南
270562016257,0,Monica_渔,加油！,2,1754647840,IP属地：广东
271081203680,0,澜-月,加油！！！,3,1754150616,IP属地：河南
269723182017,0,忐之墨白,加油！！,1,1754061122,IP属地：江苏
270554003568,0,偏偏偏偏执狂,加油！,1,1753797140,IP属地：河北
269046571601,0,账号已注销,加油！,1,1753593599,IP属地：湖南
269045121377,0,天高雲淡3748,加油,1,1753592838,IP属地：江西
268599345345,0,随便玩-念,加油！,1,1753270580,IP属地：山东
268375232657,0,言栖云o-o,加油,1,1753100092,IP属地：陕西
269186251424,0,orient___,加油,1,1752831497,IP属地：四川
267998142273,0,影剑Q,加油,1,1752821773,IP属地：广东
268534233328,0,to快乐的伊万,加油,2,1752370684,IP属地：天津
268446375520,0,赐下孤,加油,1,1752298435,IP属地：中国香港
265306344113,0,长河落日圆周率,加油,1,1750585125,IP属地：江西
265252326689,0,蓝天白天qwq,加油,1,1750535930,IP属地：广西
264298468961,0,贞好文,加油,2,1749665078,IP属地：广东
263736910961,0,序笔ジェヘナ,加油,4,1749137698,IP属地：广西
263090532944,0,霞鹤欲归境,加油[打call],5,1747512329,IP属地：四川
261789503105,0,believing-seeing,"大概是你们想知道为什么，会有这样的安排。那我就说几句。
今付无法时，法法何曾法。天命已尽，自然无寿，然而天天想着江山永固、万岁万万岁的人怎么会甘心赴死？当然要有人帮一把，而且是打扫最干净的一种方式。
经过数千年的融合，天子的臣民和人皇的臣民已经融为一体，难以区分。这不就区分出来了？带着你的臣民回黑暗去吧，新时代一个不收。",10,1747155359,IP属地：四川
262544411536,0,降搭,加油[打call],2,1746937477,IP属地：重庆
260373056897,0,失眠兔兔熊,加油[加油],1,1745613958,IP属地：广东
259238469057,0,多多乐乐Rose,加油加油😊,3,1744362269,IP属地：广东
259747043232,0,老司机豪会飘,https://b23.tv/BV1vbzFYhEdM https://b23.tv/BV1bz4y1r7Ug https://b23.tv/BV1xdXpYEEQf https://b23.tv/BV15FZGYyEdc https://b23.tv/BV194fMYYEW4 《黑暗森林法则》《怎么就想不到《兵仙韩信㊋羽蛇神信徒[颂乐人偶_眯眼笑]》》,7,1743977578,IP属地：广东
259735464256,0,沉积岩酱love,加油！！,1,1743954538,IP属地：黑龙江
259630220272,0,花捏,加油,0,1743858877,IP属地：河南
258068963361,0,为xp肝到地老天荒,加油[加油],1,1743136743,IP属地：上海
257949871409,0,该贝长号已注钅肖,加油,1,1742996244,IP属地：安徽
257474462385,0,我与闺蜜不谈情,加油,0,1742485344,IP属地：广东
257226374865,0,一叶一夜一页肄业,加油👏,0,1742208601,IP属地：河南
257185295217,0,U鹏鹏ya,加油,0,1742165679,IP属地：山东
257131641169,0,雾港灯影,加油！,0,1742108980,IP属地：山东
256728170049,0,-_Xavier--,加油✊,0,1741681249,IP属地：河南
256515863441,0,聊不聊无,加油,0,1741440829,IP属地：浙江
256202695281,0,红酒河豚,加油,0,1741096478,IP属地：辽宁
255974486401,0,晏溪不是鼹鼠,加油,3,1740849776,IP属地：山西
255892987345,0,青草虫子,加油,0,1740788738,IP属地：湖北
255849754209,0,-凉仙贝爱学习-,加油[doge],3,1740738911,IP属地：安徽
255836167089,0,小林梦回,加油,1,1740727366,IP属地：广东
255945339616,0,゚银莲花,[打call]加油,2,1740071239,IP属地：河北
255227340352,0,hhlxzy,加油！,4,1739405699,IP属地：江西
254988666880,0,-恨世-,加油！,5,1739193207,IP属地：安徽
254679790416,0,轶北宸,加油,5,1738925150,IP属地：浙江
253974142497,0,hhhmdh,加油,4,1738898310,IP属地：江西
253850400801,0,-一一风荷举_,[打call]加油,5,1738767943,IP属地：河北
254384772208,0,何凌山,加油,3,1738663141,IP属地：广东
254313717936,0,实践改造思想,加油,3,1738592309,IP属地：陕西
254219176848,0,NorthSouth-WRX,加油,2,1738506466,IP属地：黑龙江
252426824001,0,煜談,加油,4,1737459587,IP属地：四川
249257038512,0,coco琉璃,加油,6,1733748127,IP属地：河南
249103466384,0,弈华生,加油加油加油加油,4,1733587896,IP属地：新疆
246158659696,0,泽谦星辰,罗老师好[哈欠],8,1730594785,IP属地：湖北
243428771009,0,乡乡之下,为中国崛起而读书,34,1727788706,IP属地：安徽
243573428704,0,他飞飞哥,老师，我太想努力了,22,1727786656,IP属地：湖北
243413571681,0,花落JRYS,是这个版本的吗？,27,1727776276,IP属地：河北
243525950656,0,creabacdee,一张图让你看懂罗老师新视频[抱拳],58,1727745118,IP属地：福建
243298298145,0,春秋南嘉,@孤宿鲸落 改变命运，走出去 别困在这儿,10,1727630279,IP属地：新疆
243349714928,0,颠一颠炒的菜才好吃,生活的自由/精神的自由,11,1727531957,IP属地：广东
243302735536,0,LMYSFM,其实读书是为了让自己快乐，是为了找到自我，也是为了让自己独立的爱国思想和民族意识觉醒，不受资本裹挟向前走，而是会为了心中的理想努力的勇敢的坚定的做逆行者,18,1727491882,IP属地：四川
